alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.985448,0.968891,0.338697
1.0,0.0,0.1,0.01,0.01,0.982026,0.968418,0.285224
1.0,0.0,0.1,0.01,0.001,0.981316,0.970743,0.32127
1.0,0.0,0.1,0.01,0.0001,0.983795,0.968789,0.426182
1.0,0.0,0.1,0.001,0.1,0.983054,0.970499,0.376677
1.0,0.0,0.1,0.001,0.01,0.982954,0.972432,0.386471
1.0,0.0,0.1,0.001,0.001,0.982907,0.971857,0.31677
1.0,0.0,0.1,0.001,0.0001,0.98139,0.971767,0.358718
1.0,0.0,0.1,0.0001,0.1,0.982723,0.969579,0.280573
1.0,0.0,0.1,0.0001,0.01,0.981671,0.970515,0.312127
1.0,0.0,0.1,0.0001,0.001,0.983625,0.973462,0.33993
1.0,0.0,0.1,0.0001,0.0001,0.982432,0.970565,0.308365
1.0,0.0,1.0,0.01,0.1,0.981878,0.969458,0.310741
1.0,0.0,1.0,0.01,0.01,0.984155,0.969371,0.34639
1.0,0.0,1.0,0.01,0.001,0.98156,0.971267,0.326157
1.0,0.0,1.0,0.01,0.0001,0.982632,0.97381,0.388156
1.0,0.0,1.0,0.001,0.1,0.983773,0.975364,0.394209
1.0,0.0,1.0,0.001,0.01,0.982176,0.973449,0.37205
1.0,0.0,1.0,0.001,0.001,0.983089,0.974784,0.414166
1.0,0.0,1.0,0.001,0.0001,0.982207,0.973529,0.401459
1.0,0.0,1.0,0.0001,0.1,0.98237,0.969524,0.304294
1.0,0.0,1.0,0.0001,0.01,0.982794,0.969426,0.286497
1.0,0.0,1.0,0.0001,0.001,0.981482,0.973536,0.336409
1.0,0.0,1.0,0.0001,0.0001,0.981605,0.9707,0.299185
1.0,0.0,10.0,0.01,0.1,0.983606,0.969378,0.306326
1.0,0.0,10.0,0.01,0.01,0.983899,0.972764,0.386328
1.0,0.0,10.0,0.01,0.001,0.98339,0.971342,0.360858
1.0,0.0,10.0,0.01,0.0001,0.980724,0.969041,0.363879
1.0,0.0,10.0,0.001,0.1,0.981634,0.972704,0.329962
1.0,0.0,10.0,0.001,0.01,0.982081,0.972588,0.383043
1.0,0.0,10.0,0.001,0.001,0.981773,0.974107,0.427485
1.0,0.0,10.0,0.001,0.0001,0.98251,0.974168,0.378449
1.0,0.0,10.0,0.0001,0.1,0.983009,0.970582,0.270521
1.0,0.0,10.0,0.0001,0.01,0.981925,0.973229,0.341938
1.0,0.0,10.0,0.0001,0.001,0.98219,0.971208,0.321993
1.0,0.0,10.0,0.0001,0.0001,0.980888,0.97311,0.328381
1.0,0.1,0.0,0.01,0.1,0.983918,0.962543,0.237152
1.0,0.1,0.0,0.01,0.01,0.985469,0.966089,0.202224
1.0,0.1,0.0,0.01,0.001,0.981818,0.965047,0.178045
1.0,0.1,0.0,0.01,0.0001,0.98606,0.964474,0.193207
1.0,0.1,0.0,0.001,0.1,0.985267,0.965783,0.191145
1.0,0.1,0.0,0.001,0.01,0.984604,0.963431,0.15155
1.0,0.1,0.0,0.001,0.001,0.98393,0.965301,0.182564
1.0,0.1,0.0,0.001,0.0001,0.984107,0.965502,0.1757
1.0,0.1,0.0,0.0001,0.1,0.982062,0.963594,0.124123
1.0,0.1,0.0,0.0001,0.01,0.982126,0.960797,0.121046
1.0,0.1,0.0,0.0001,0.001,0.981809,0.963505,0.134343
1.0,0.1,0.0,0.0001,0.0001,0.982157,0.963655,0.152206
1.0,0.1,0.1,0.01,0.1,0.982694,0.96525,0.264076
1.0,0.1,0.1,0.01,0.01,0.97995,0.967937,0.310787
1.0,0.1,0.1,0.01,0.001,0.983101,0.967628,0.264043
1.0,0.1,0.1,0.01,0.0001,0.98443,0.966814,0.249595
1.0,0.1,0.1,0.001,0.1,0.984986,0.968074,0.270561
1.0,0.1,0.1,0.001,0.01,0.983608,0.966976,0.253889
1.0,0.1,0.1,0.001,0.001,0.983083,0.968071,0.244431
1.0,0.1,0.1,0.001,0.0001,0.982794,0.967701,0.255416
1.0,0.1,0.1,0.0001,0.1,0.981361,0.968228,0.261054
1.0,0.1,0.1,0.0001,0.01,0.982377,0.966997,0.22204
1.0,0.1,0.1,0.0001,0.001,0.981828,0.96957,0.263964
1.0,0.1,0.1,0.0001,0.0001,0.981719,0.963822,0.152216
1.0,0.1,1.0,0.01,0.1,0.985059,0.969451,0.336572
1.0,0.1,1.0,0.01,0.01,0.983688,0.968956,0.302782
1.0,0.1,1.0,0.01,0.001,0.982597,0.970048,0.358126
1.0,0.1,1.0,0.01,0.0001,0.983508,0.970961,0.374423
1.0,0.1,1.0,0.001,0.1,0.984022,0.971365,0.364111
1.0,0.1,1.0,0.001,0.01,0.982661,0.973222,0.397375
1.0,0.1,1.0,0.001,0.001,0.980727,0.974923,0.379683
1.0,0.1,1.0,0.001,0.0001,0.9825,0.973604,0.392434
1.0,0.1,1.0,0.0001,0.1,0.981735,0.973114,0.324097
1.0,0.1,1.0,0.0001,0.01,0.984418,0.971155,0.290394
1.0,0.1,1.0,0.0001,0.001,0.983487,0.972769,0.303825
1.0,0.1,1.0,0.0001,0.0001,0.983272,0.970626,0.316523
1.0,0.1,10.0,0.01,0.1,0.983116,0.970717,0.299141
1.0,0.1,10.0,0.01,0.01,0.982384,0.968571,0.353894
1.0,0.1,10.0,0.01,0.001,0.983968,0.971768,0.357344
1.0,0.1,10.0,0.01,0.0001,0.983087,0.971519,0.345203
1.0,0.1,10.0,0.001,0.1,0.982761,0.973599,0.370282
1.0,0.1,10.0,0.001,0.01,0.981814,0.972911,0.414318
1.0,0.1,10.0,0.001,0.001,0.984612,0.973006,0.36648
1.0,0.1,10.0,0.001,0.0001,0.983123,0.97298,0.402918
1.0,0.1,10.0,0.0001,0.1,0.982552,0.970609,0.285756
1.0,0.1,10.0,0.0001,0.01,0.982169,0.97097,0.324158
1.0,0.1,10.0,0.0001,0.001,0.981219,0.970199,0.304689
1.0,0.1,10.0,0.0001,0.0001,0.981965,0.972203,0.334307
1.0,1.0,0.0,0.01,0.1,0.983191,0.966498,0.255819
1.0,1.0,0.0,0.01,0.01,0.984995,0.963552,0.18011
1.0,1.0,0.0,0.01,0.001,0.984669,0.965257,0.182943
1.0,1.0,0.0,0.01,0.0001,0.986394,0.964781,0.16186
1.0,1.0,0.0,0.001,0.1,0.984836,0.964586,0.194044
1.0,1.0,0.0,0.001,0.01,0.983012,0.964939,0.171465
1.0,1.0,0.0,0.001,0.001,0.983148,0.964236,0.126697
