alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.788492,0.957266,0.425377
1.0,0.0,0.1,0.01,0.01,0.778468,0.956447,0.433624
1.0,0.0,0.1,0.01,0.001,0.79714,0.956698,0.436127
1.0,0.0,0.1,0.01,0.0001,0.795367,0.956944,0.447138
1.0,0.0,0.1,0.001,0.1,0.784758,0.958668,0.420247
1.0,0.0,0.1,0.001,0.01,0.772322,0.958809,0.422903
1.0,0.0,0.1,0.001,0.001,0.762557,0.957761,0.388967
1.0,0.0,0.1,0.001,0.0001,0.784974,0.959085,0.420696
1.0,0.0,0.1,0.0001,0.1,0.766377,0.957825,0.390534
1.0,0.0,0.1,0.0001,0.01,0.765143,0.958348,0.395804
1.0,0.0,0.1,0.0001,0.001,0.747238,0.957085,0.374036
1.0,0.0,0.1,0.0001,0.0001,0.748442,0.956636,0.370467
1.0,0.0,1.0,0.01,0.1,0.794862,0.957769,0.429897
1.0,0.0,1.0,0.01,0.01,0.774478,0.956558,0.438389
1.0,0.0,1.0,0.01,0.001,0.800565,0.957121,0.448751
1.0,0.0,1.0,0.01,0.0001,0.798465,0.957605,0.428203
1.0,0.0,1.0,0.001,0.1,0.799149,0.957975,0.431419
1.0,0.0,1.0,0.001,0.01,0.76909,0.958783,0.408633
1.0,0.0,1.0,0.001,0.001,0.773493,0.957223,0.405966
1.0,0.0,1.0,0.001,0.0001,0.781116,0.959734,0.414873
1.0,0.0,1.0,0.0001,0.1,0.751067,0.956773,0.376767
1.0,0.0,1.0,0.0001,0.01,0.750931,0.957221,0.377478
1.0,0.0,1.0,0.0001,0.001,0.75206,0.95675,0.376584
1.0,0.0,1.0,0.0001,0.0001,0.764474,0.957856,0.390021
1.0,0.0,10.0,0.01,0.1,0.801066,0.957032,0.438091
1.0,0.0,10.0,0.01,0.01,0.800974,0.957542,0.450815
1.0,0.0,10.0,0.01,0.001,0.800179,0.957586,0.430108
1.0,0.0,10.0,0.01,0.0001,0.779907,0.959486,0.425969
1.0,0.0,10.0,0.001,0.1,0.763463,0.956734,0.394324
1.0,0.0,10.0,0.001,0.01,0.77687,0.958477,0.410561
