alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.632344,0.912941,0.09378
1.0,0.0,0.1,0.01,0.01,0.956087,0.979943,0.490845
1.0,0.0,0.1,0.01,0.001,0.967119,0.97023,0.234695
1.0,0.0,0.1,0.01,0.0001,0.585336,0.911629,0.049569
1.0,0.0,0.1,0.001,0.1,0.969676,0.97957,0.457873
1.0,0.0,0.1,0.001,0.01,0.9617,0.978091,0.360046
1.0,0.0,0.1,0.001,0.001,0.729792,0.925844,0.069414
1.0,0.0,0.1,0.001,0.0001,0.684827,0.908601,0.071905
1.0,0.0,0.1,0.0001,0.1,0.708414,0.936895,0.113439
1.0,0.0,0.1,0.0001,0.01,0.833248,0.958808,0.164679
1.0,0.0,0.1,0.0001,0.001,0.859907,0.944386,0.146879
1.0,0.0,0.1,0.0001,0.0001,0.805577,0.935902,0.129942
1.0,0.0,1.0,0.01,0.1,0.862845,0.968304,0.312918
1.0,0.0,1.0,0.01,0.01,0.885301,0.961751,0.140788
1.0,0.0,1.0,0.01,0.001,0.705642,0.933271,0.079251
1.0,0.0,1.0,0.01,0.0001,0.737251,0.940113,0.125286
1.0,0.0,1.0,0.001,0.1,0.961633,0.979784,0.39943
1.0,0.0,1.0,0.001,0.01,0.738676,0.929473,0.096313
1.0,0.0,1.0,0.001,0.001,0.727548,0.91192,0.082472
1.0,0.0,1.0,0.001,0.0001,0.774623,0.925302,0.072194
1.0,0.0,1.0,0.0001,0.1,0.814214,0.941974,0.136223
1.0,0.0,1.0,0.0001,0.01,0.866697,0.952113,0.197821
1.0,0.0,1.0,0.0001,0.001,0.862839,0.951762,0.194715
1.0,0.0,1.0,0.0001,0.0001,0.848657,0.946291,0.166176
1.0,0.0,10.0,0.01,0.1,0.978979,0.973796,0.260587
1.0,0.0,10.0,0.01,0.01,0.758563,0.938837,0.075466
1.0,0.0,10.0,0.01,0.001,0.612692,0.931806,0.057565
1.0,0.0,10.0,0.01,0.0001,0.677945,0.931588,0.056499
1.0,0.0,10.0,0.001,0.1,0.828236,0.934946,0.177077
1.0,0.0,10.0,0.001,0.01,0.775249,0.919832,0.081581
1.0,0.0,10.0,0.001,0.001,0.721333,0.911099,0.067463
1.0,0.0,10.0,0.001,0.0001,0.715467,0.902107,0.055774
1.0,0.0,10.0,0.0001,0.1,0.800499,0.941556,0.132617
1.0,0.0,10.0,0.0001,0.01,0.811309,0.94987,0.144842
1.0,0.0,10.0,0.0001,0.001,0.789423,0.933199,0.140689
1.0,0.0,10.0,0.0001,0.0001,0.802306,0.939929,0.134477
1.0,0.1,0.0,0.01,0.1,0.592149,0.914592,0.053836
1.0,0.1,0.0,0.01,0.01,0.967841,0.981534,0.473492
1.0,0.1,0.0,0.01,0.001,0.96991,0.982765,0.477919
1.0,0.1,0.0,0.01,0.0001,0.976177,0.981352,0.411305
1.0,0.1,0.0,0.001,0.1,0.977098,0.985233,0.563736
1.0,0.1,0.0,0.001,0.01,0.975651,0.986332,0.566583
1.0,0.1,0.0,0.001,0.001,0.973968,0.986137,0.546101
1.0,0.1,0.0,0.001,0.0001,0.971735,0.986393,0.533863
1.0,0.1,0.0,0.0001,0.1,0.870261,0.969606,0.2431
1.0,0.1,0.0,0.0001,0.01,0.971811,0.982852,0.470179
1.0,0.1,0.0,0.0001,0.001,0.967763,0.980674,0.352038
1.0,0.1,0.0,0.0001,0.0001,0.95963,0.977942,0.350045
1.0,0.1,0.1,0.01,0.1,0.620883,0.932383,0.051236
1.0,0.1,0.1,0.01,0.01,0.960488,0.978264,0.408866
1.0,0.1,0.1,0.01,0.001,0.969138,0.976035,0.298572
1.0,0.1,0.1,0.01,0.0001,0.966454,0.974577,0.300797
1.0,0.1,0.1,0.001,0.1,0.961821,0.980654,0.451393
1.0,0.1,0.1,0.001,0.01,0.977687,0.980386,0.366292
1.0,0.1,0.1,0.001,0.001,0.964557,0.976907,0.297253
1.0,0.1,0.1,0.001,0.0001,0.96223,0.977762,0.309271
1.0,0.1,0.1,0.0001,0.1,0.870068,0.972478,0.290664
1.0,0.1,0.1,0.0001,0.01,0.949176,0.975942,0.306577
1.0,0.1,0.1,0.0001,0.001,0.941247,0.969979,0.258113
1.0,0.1,0.1,0.0001,0.0001,0.951818,0.972375,0.279279
1.0,0.1,1.0,0.01,0.1,0.958206,0.9783,0.458788
1.0,0.1,1.0,0.01,0.01,0.850613,0.955388,0.204006
1.0,0.1,1.0,0.01,0.001,0.736113,0.944496,0.067219
1.0,0.1,1.0,0.01,0.0001,0.693388,0.928917,0.095516
1.0,0.1,1.0,0.001,0.1,0.905249,0.961473,0.249152
1.0,0.1,1.0,0.001,0.01,0.709896,0.910454,0.074093
1.0,0.1,1.0,0.001,0.001,0.798532,0.925793,0.103816
1.0,0.1,1.0,0.001,0.0001,0.862237,0.9475,0.138153
1.0,0.1,1.0,0.0001,0.1,0.817548,0.945225,0.139185
1.0,0.1,1.0,0.0001,0.01,0.816704,0.948811,0.157113
1.0,0.1,1.0,0.0001,0.001,0.801219,0.94947,0.171166
1.0,0.1,1.0,0.0001,0.0001,0.855324,0.950778,0.161979
1.0,0.1,10.0,0.01,0.1,0.974874,0.965783,0.16216
1.0,0.1,10.0,0.01,0.01,0.686018,0.924871,0.040589
1.0,0.1,10.0,0.01,0.001,0.733979,0.941846,0.081801
1.0,0.1,10.0,0.01,0.0001,0.69755,0.931765,0.066655
1.0,0.1,10.0,0.001,0.1,0.765204,0.923875,0.078028
1.0,0.1,10.0,0.001,0.01,0.729134,0.921879,0.073819
1.0,0.1,10.0,0.001,0.001,0.777299,0.921493,0.082265
1.0,0.1,10.0,0.001,0.0001,0.730668,0.915111,0.082524
1.0,0.1,10.0,0.0001,0.1,0.764997,0.924677,0.108679
1.0,0.1,10.0,0.0001,0.01,0.810817,0.93861,0.174914
1.0,0.1,10.0,0.0001,0.001,0.798934,0.939672,0.124194
1.0,0.1,10.0,0.0001,0.0001,0.781901,0.933101,0.133006
1.0,1.0,0.0,0.01,0.1,0.964602,0.980421,0.476534
1.0,1.0,0.0,0.01,0.01,0.970443,0.98248,0.45833
1.0,1.0,0.0,0.01,0.001,0.979541,0.98386,0.477843
1.0,1.0,0.0,0.01,0.0001,0.977261,0.981706,0.3886
1.0,1.0,0.0,0.001,0.1,0.97062,0.981909,0.463473
1.0,1.0,0.0,0.001,0.01,0.974089,0.985286,0.511621
1.0,1.0,0.0,0.001,0.001,0.972763,0.985332,0.519558
1.0,1.0,0.0,0.001,0.0001,0.967919,0.985777,0.50131
1.0,1.0,0.0,0.0001,0.1,0.966762,0.983602,0.469544
1.0,1.0,0.0,0.0001,0.01,0.973726,0.984545,0.457375
1.0,1.0,0.0,0.0001,0.001,0.968843,0.979103,0.357106
