alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.1,0.01,0.943158,0.992278,0.289604
1.0,0.0,0.1,0.1,0.001,0.895905,0.989312,0.268182
1.0,0.0,0.1,0.1,0.0001,0.89352,0.988915,0.269621
1.0,0.0,0.1,0.01,0.01,0.962216,0.993806,0.319045
1.0,0.0,0.1,0.01,0.001,0.92856,0.992808,0.27548
1.0,0.0,0.1,0.01,0.0001,0.54222,0.966121,0.0529
1.0,0.0,0.1,0.001,0.01,0.663151,0.978237,0.115866
1.0,0.0,0.1,0.001,0.001,0.701375,0.968889,0.142926
1.0,0.0,0.1,0.001,0.0001,0.693165,0.969014,0.134507
1.0,0.0,0.1,0.0001,0.01,0.875464,0.985054,0.236525
1.0,0.0,0.1,0.0001,0.001,0.735762,0.981055,0.163165
1.0,0.0,0.1,0.0001,0.0001,0.789591,0.976686,0.19678
1.0,0.0,1.0,0.1,0.01,0.934041,0.993613,0.303659
1.0,0.0,1.0,0.1,0.001,0.898598,0.991987,0.258356
1.0,0.0,1.0,0.1,0.0001,0.934791,0.993126,0.287871
1.0,0.0,1.0,0.01,0.01,0.849217,0.987987,0.257429
1.0,0.0,1.0,0.01,0.001,0.750952,0.981828,0.166712
1.0,0.0,1.0,0.01,0.0001,0.686986,0.975444,0.130406
1.0,0.0,1.0,0.001,0.01,0.796018,0.977302,0.193231
1.0,0.0,1.0,0.001,0.001,0.675184,0.962914,0.136908
1.0,0.0,1.0,0.001,0.0001,0.817361,0.979104,0.212756
1.0,0.0,1.0,0.0001,0.01,0.80347,0.978594,0.198991
1.0,0.0,1.0,0.0001,0.001,0.801101,0.980198,0.200618
1.0,0.0,1.0,0.0001,0.0001,0.748312,0.973709,0.18226
1.0,0.0,10.0,0.1,0.01,0.920783,0.992389,0.281126
1.0,0.0,10.0,0.1,0.001,0.893265,0.991821,0.258912
1.0,0.0,10.0,0.1,0.0001,0.919299,0.993062,0.285398
1.0,0.0,10.0,0.01,0.01,0.727098,0.980802,0.158267
1.0,0.0,10.0,0.01,0.001,0.61008,0.974672,0.083962
1.0,0.0,10.0,0.01,0.0001,0.568788,0.965887,0.04671
1.0,0.0,10.0,0.001,0.01,0.665554,0.96212,0.120252
1.0,0.0,10.0,0.001,0.001,0.702098,0.966213,0.150226
1.0,0.0,10.0,0.001,0.0001,0.688366,0.969446,0.140091
1.0,0.0,10.0,0.0001,0.01,0.782497,0.980497,0.18895
1.0,0.0,10.0,0.0001,0.001,0.718019,0.982087,0.161326
1.0,0.0,10.0,0.0001,0.0001,0.817022,0.982046,0.225736
1.0,0.1,0.0,0.1,0.01,0.842813,0.986977,0.217765
1.0,0.1,0.0,0.1,0.001,0.977805,0.995552,0.333058
1.0,0.1,0.0,0.1,0.0001,0.971252,0.993594,0.327024
1.0,0.1,0.0,0.01,0.01,0.971084,0.994625,0.331
1.0,0.1,0.0,0.01,0.001,0.969387,0.994291,0.328912
1.0,0.1,0.0,0.01,0.0001,0.97518,0.9944,0.33552
1.0,0.1,0.0,0.001,0.01,0.963238,0.994483,0.328059
1.0,0.1,0.0,0.001,0.001,0.970838,0.995262,0.330909
1.0,0.1,0.0,0.001,0.0001,0.964103,0.9954,0.332973
1.0,0.1,0.0,0.0001,0.01,0.964474,0.994963,0.32769
1.0,0.1,0.0,0.0001,0.001,0.965336,0.99568,0.326414
1.0,0.1,0.0,0.0001,0.0001,0.967704,0.995644,0.330928
1.0,0.1,0.1,0.1,0.01,0.958148,0.994714,0.323506
1.0,0.1,0.1,0.1,0.001,0.974342,0.996917,0.340602
