alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.972938,0.994813,0.333718
1.0,0.0,0.1,0.01,0.01,0.974166,0.995231,0.337017
1.0,0.0,0.1,0.01,0.001,0.966229,0.994624,0.321734
1.0,0.0,0.1,0.01,0.0001,0.93972,0.990605,0.288516
1.0,0.0,0.1,0.001,0.1,0.978314,0.995354,0.343196
1.0,0.0,0.1,0.001,0.01,0.972874,0.99535,0.333658
1.0,0.0,0.1,0.001,0.001,0.830374,0.985617,0.222144
1.0,0.0,0.1,0.001,0.0001,0.838566,0.984155,0.24
1.0,0.0,0.1,0.0001,0.1,0.711986,0.976561,0.133025
1.0,0.0,0.1,0.0001,0.01,0.61853,0.969606,0.074326
1.0,0.0,0.1,0.0001,0.001,0.621723,0.976812,0.102706
1.0,0.0,0.1,0.0001,0.0001,0.680168,0.971631,0.11646
1.0,0.0,1.0,0.01,0.1,0.977465,0.995824,0.344055
1.0,0.0,1.0,0.01,0.01,0.975429,0.995493,0.327875
1.0,0.0,1.0,0.01,0.001,0.926482,0.992286,0.290211
1.0,0.0,1.0,0.01,0.0001,0.925492,0.991558,0.28583
1.0,0.0,1.0,0.001,0.1,0.961267,0.994841,0.33394
1.0,0.0,1.0,0.001,0.01,0.928109,0.992151,0.297674
1.0,0.0,1.0,0.001,0.001,0.790028,0.982249,0.183508
1.0,0.0,1.0,0.001,0.0001,0.842985,0.986602,0.230396
1.0,0.0,1.0,0.0001,0.1,0.699623,0.979118,0.147386
1.0,0.0,1.0,0.0001,0.01,0.879595,0.986607,0.258426
1.0,0.0,1.0,0.0001,0.001,0.612607,0.971375,0.088554
1.0,0.0,1.0,0.0001,0.0001,0.790495,0.98439,0.193176
1.0,0.0,10.0,0.01,0.1,0.973141,0.99548,0.333795
1.0,0.0,10.0,0.01,0.01,0.923885,0.990398,0.284185
1.0,0.0,10.0,0.01,0.001,0.804398,0.985769,0.206321
1.0,0.0,10.0,0.01,0.0001,0.839747,0.982723,0.224003
1.0,0.0,10.0,0.001,0.1,0.83884,0.984886,0.229409
1.0,0.0,10.0,0.001,0.01,0.799432,0.980663,0.194644
1.0,0.0,10.0,0.001,0.001,0.810242,0.983087,0.20666
1.0,0.0,10.0,0.001,0.0001,0.872019,0.986831,0.236181
1.0,0.0,10.0,0.0001,0.1,0.636181,0.974047,0.108072
1.0,0.0,10.0,0.0001,0.01,0.769984,0.983215,0.184016
1.0,0.0,10.0,0.0001,0.001,0.624437,0.976653,0.09387
1.0,0.0,10.0,0.0001,0.0001,0.76303,0.978448,0.185921
1.0,0.1,0.0,0.01,0.1,0.973307,0.994868,0.330549
1.0,0.1,0.0,0.01,0.01,0.974465,0.99528,0.341134
1.0,0.1,0.0,0.01,0.001,0.974775,0.996061,0.348799
1.0,0.1,0.0,0.01,0.0001,0.974276,0.995502,0.344705
1.0,0.1,0.0,0.001,0.1,0.96937,0.99539,0.342578
1.0,0.1,0.0,0.001,0.01,0.977742,0.996263,0.344933
1.0,0.1,0.0,0.001,0.001,0.975623,0.996202,0.346798
1.0,0.1,0.0,0.001,0.0001,0.974363,0.995897,0.346552
1.0,0.1,0.0,0.0001,0.1,0.769948,0.985233,0.206755
1.0,0.1,0.0,0.0001,0.01,0.897448,0.99286,0.275387
1.0,0.1,0.0,0.0001,0.001,0.974965,0.996068,0.337865
1.0,0.1,0.0,0.0001,0.0001,0.976098,0.995969,0.329607
1.0,0.1,0.1,0.01,0.1,0.972059,0.99507,0.333503
1.0,0.1,0.1,0.01,0.01,0.978343,0.996117,0.340768
1.0,0.1,0.1,0.01,0.001,0.969675,0.996127,0.338442
1.0,0.1,0.1,0.01,0.0001,0.976475,0.995859,0.330932
1.0,0.1,0.1,0.001,0.1,0.980495,0.995803,0.347408
1.0,0.1,0.1,0.001,0.01,0.976918,0.995838,0.339888
1.0,0.1,0.1,0.001,0.001,0.974477,0.996231,0.327586
1.0,0.1,0.1,0.001,0.0001,0.973009,0.995923,0.331452
1.0,0.1,0.1,0.0001,0.1,0.789816,0.985279,0.188893
1.0,0.1,0.1,0.0001,0.01,0.860838,0.99046,0.245939
1.0,0.1,0.1,0.0001,0.001,0.797372,0.984749,0.191998
1.0,0.1,0.1,0.0001,0.0001,0.894771,0.990533,0.270337
1.0,0.1,1.0,0.01,0.1,0.980296,0.996472,0.347728
1.0,0.1,1.0,0.01,0.01,0.97036,0.995411,0.325549
1.0,0.1,1.0,0.01,0.001,0.896326,0.988253,0.260698
1.0,0.1,1.0,0.01,0.0001,0.911485,0.98461,0.2573
1.0,0.1,1.0,0.001,0.1,0.966911,0.994131,0.326808
1.0,0.1,1.0,0.001,0.01,0.955194,0.993325,0.310788
1.0,0.1,1.0,0.001,0.001,0.890222,0.986811,0.251985
1.0,0.1,1.0,0.001,0.0001,0.819256,0.984062,0.215125
1.0,0.1,1.0,0.0001,0.1,0.809207,0.983689,0.188685
1.0,0.1,1.0,0.0001,0.01,0.742027,0.977745,0.161092
1.0,0.1,1.0,0.0001,0.001,0.72884,0.978099,0.1496
1.0,0.1,1.0,0.0001,0.0001,0.830672,0.984752,0.2256
1.0,0.1,10.0,0.01,0.1,0.952045,0.992977,0.289776
1.0,0.1,10.0,0.01,0.01,0.869709,0.988599,0.247591
1.0,0.1,10.0,0.01,0.001,0.841898,0.984469,0.219687
1.0,0.1,10.0,0.01,0.0001,0.849217,0.987551,0.244359
1.0,0.1,10.0,0.001,0.1,0.865744,0.9846,0.234245
1.0,0.1,10.0,0.001,0.01,0.890095,0.990242,0.263452
1.0,0.1,10.0,0.001,0.001,0.881411,0.987974,0.253484
1.0,0.1,10.0,0.001,0.0001,0.90724,0.989294,0.26929
1.0,0.1,10.0,0.0001,0.1,0.712178,0.976831,0.13677
1.0,0.1,10.0,0.0001,0.01,0.71554,0.980896,0.152817
1.0,0.1,10.0,0.0001,0.001,0.661762,0.973512,0.121117
1.0,0.1,10.0,0.0001,0.0001,0.744692,0.982161,0.164969
1.0,1.0,0.0,0.01,0.1,0.96893,0.995107,0.333782
1.0,1.0,0.0,0.01,0.01,0.980132,0.996007,0.346185
1.0,1.0,0.0,0.01,0.001,0.978006,0.995556,0.341438
1.0,1.0,0.0,0.01,0.0001,0.975481,0.995244,0.340267
1.0,1.0,0.0,0.001,0.1,0.972957,0.995908,0.339065
1.0,1.0,0.0,0.001,0.01,0.979477,0.99611,0.347305
1.0,1.0,0.0,0.001,0.001,0.974436,0.996012,0.339416
1.0,1.0,0.0,0.001,0.0001,0.973726,0.995887,0.340598
1.0,1.0,0.0,0.0001,0.1,0.975312,0.996329,0.337584
1.0,1.0,0.0,0.0001,0.01,0.965232,0.99547,0.317119
1.0,1.0,0.0,0.0001,0.001,0.970717,0.995752,0.331634
1.0,1.0,0.0,0.0001,0.0001,0.969359,0.99565,0.330042
1.0,1.0,0.1,0.01,0.1,0.970426,0.994629,0.332442
1.0,1.0,0.1,0.01,0.01,0.979051,0.995775,0.341536
1.0,1.0,0.1,0.01,0.001,0.973525,0.995925,0.345031
1.0,1.0,0.1,0.01,0.0001,0.980741,0.995914,0.339838
1.0,1.0,0.1,0.001,0.1,0.979889,0.995999,0.340658
1.0,1.0,0.1,0.001,0.01,0.978847,0.996081,0.346519
1.0,1.0,0.1,0.001,0.001,0.977715,0.995863,0.339057
1.0,1.0,0.1,0.001,0.0001,0.973677,0.995615,0.337163
1.0,1.0,0.1,0.0001,0.1,0.970686,0.995199,0.335745
1.0,1.0,0.1,0.0001,0.01,0.974124,0.996249,0.335614
1.0,1.0,0.1,0.0001,0.001,0.975083,0.995435,0.327175
1.0,1.0,0.1,0.0001,0.0001,0.967455,0.99525,0.318546
1.0,1.0,1.0,0.01,0.1,0.97607,0.995776,0.345524
1.0,1.0,1.0,0.01,0.01,0.97347,0.995659,0.337148
1.0,1.0,1.0,0.01,0.001,0.972393,0.995161,0.326959
1.0,1.0,1.0,0.01,0.0001,0.97446,0.995951,0.334455
1.0,1.0,1.0,0.001,0.1,0.976188,0.996126,0.337854
1.0,1.0,1.0,0.001,0.01,0.974017,0.996226,0.333162
1.0,1.0,1.0,0.001,0.001,0.970519,0.996585,0.338712
1.0,1.0,1.0,0.001,0.0001,0.969661,0.996008,0.327863
1.0,1.0,1.0,0.0001,0.1,0.77375,0.985639,0.195359
1.0,1.0,1.0,0.0001,0.01,0.971911,0.994825,0.316164
1.0,1.0,1.0,0.0001,0.001,0.790028,0.985813,0.214777
1.0,1.0,1.0,0.0001,0.0001,0.93553,0.990841,0.284491
1.0,1.0,10.0,0.01,0.1,0.96285,0.995389,0.327267
1.0,1.0,10.0,0.01,0.01,0.912625,0.991616,0.277921
1.0,1.0,10.0,0.01,0.001,0.863944,0.988326,0.25673
1.0,1.0,10.0,0.01,0.0001,0.872507,0.984269,0.253024
1.0,1.0,10.0,0.001,0.1,0.936929,0.990781,0.280135
1.0,1.0,10.0,0.001,0.01,0.901364,0.989327,0.261153
1.0,1.0,10.0,0.001,0.001,0.918331,0.989803,0.277293
1.0,1.0,10.0,0.001,0.0001,0.869893,0.984908,0.236999
1.0,1.0,10.0,0.0001,0.1,0.870267,0.986485,0.248953
1.0,1.0,10.0,0.0001,0.01,0.808802,0.982655,0.215547
1.0,1.0,10.0,0.0001,0.001,0.781548,0.980396,0.185761
1.0,1.0,10.0,0.0001,0.0001,0.591669,0.971264,0.063365
1.0,10.0,0.0,0.01,0.1,0.977316,0.995665,0.339056
1.0,10.0,0.0,0.01,0.01,0.97678,0.99548,0.342858
1.0,10.0,0.0,0.01,0.001,0.979501,0.995663,0.339394
1.0,10.0,0.0,0.01,0.0001,0.979848,0.99558,0.339011
1.0,10.0,0.0,0.001,0.1,0.978276,0.996127,0.344195
1.0,10.0,0.0,0.001,0.01,0.974564,0.996216,0.345266
1.0,10.0,0.0,0.001,0.001,0.97724,0.99559,0.340928
1.0,10.0,0.0,0.001,0.0001,0.977427,0.995879,0.339048
1.0,10.0,0.0,0.0001,0.1,0.971243,0.995112,0.322637
1.0,10.0,0.0,0.0001,0.01,0.975765,0.996481,0.336054
1.0,10.0,0.0,0.0001,0.001,0.979089,0.996047,0.33403
1.0,10.0,0.0,0.0001,0.0001,0.964971,0.994998,0.320168
1.0,10.0,0.1,0.01,0.1,0.972722,0.995778,0.343514
1.0,10.0,0.1,0.01,0.01,0.976021,0.99567,0.341953
1.0,10.0,0.1,0.01,0.001,0.978376,0.995596,0.341152
1.0,10.0,0.1,0.01,0.0001,0.979494,0.995608,0.340922
1.0,10.0,0.1,0.001,0.1,0.981177,0.99615,0.344068
1.0,10.0,0.1,0.001,0.01,0.976264,0.996385,0.347096
1.0,10.0,0.1,0.001,0.001,0.976582,0.996045,0.341135
1.0,10.0,0.1,0.001,0.0001,0.97767,0.995993,0.340512
1.0,10.0,0.1,0.0001,0.1,0.976749,0.996368,0.338566
1.0,10.0,0.1,0.0001,0.01,0.975789,0.996094,0.329852
1.0,10.0,0.1,0.0001,0.001,0.971229,0.995353,0.322753
