alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,1.0,0.1,1.0,0.01,0.669034,0.954102,0.322475
1.0,1.0,0.1,1.0,0.001,0.806591,0.968577,0.494676
1.0,1.0,0.1,0.1,0.01,0.714862,0.958772,0.386924
1.0,1.0,0.1,0.1,0.001,0.799347,0.972718,0.50093
1.0,1.0,0.1,0.01,0.01,0.777624,0.980181,0.546772
1.0,1.0,0.1,0.01,0.001,0.780428,0.973624,0.508155
1.0,1.0,0.001,1.0,0.01,0.713609,0.955089,0.376038
1.0,1.0,0.001,1.0,0.001,0.824841,0.973351,0.520084
1.0,1.0,0.001,0.1,0.01,0.71582,0.961558,0.350448
1.0,1.0,0.001,0.1,0.001,0.792197,0.972957,0.496011
1.0,1.0,0.001,0.01,0.01,0.760626,0.967593,0.471278
1.0,1.0,0.001,0.01,0.001,0.746571,0.96935,0.404653
1.0,1.0,0.5,1.0,0.01,0.687507,0.955144,0.325083
1.0,1.0,0.5,1.0,0.001,0.809071,0.975523,0.546658
1.0,1.0,0.5,0.1,0.01,0.741862,0.959662,0.389086
1.0,1.0,0.5,0.1,0.001,0.798157,0.972651,0.513008
1.0,1.0,0.5,0.01,0.01,0.683366,0.963214,0.378237
1.0,1.0,0.5,0.01,0.001,0.70385,0.961983,0.3505
