alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.761651,0.968712,0.461334
1.0,0.0,0.1,0.01,0.01,0.763322,0.970626,0.447274
1.0,0.0,0.1,0.01,0.001,0.789042,0.976711,0.515893
1.0,0.0,0.1,0.01,0.0001,0.747182,0.968657,0.48885
1.0,0.0,0.1,0.001,0.1,0.73734,0.971623,0.46708
1.0,0.0,0.1,0.001,0.01,0.775387,0.971771,0.505733
1.0,0.0,0.1,0.001,0.001,0.716071,0.966516,0.421603
1.0,0.0,0.1,0.001,0.0001,0.771218,0.969976,0.43678
1.0,0.0,0.1,0.0001,0.1,0.754764,0.968994,0.476669
1.0,0.0,0.1,0.0001,0.01,0.720185,0.96507,0.400079
1.0,0.0,0.1,0.0001,0.001,0.590851,0.95698,0.304917
1.0,0.0,0.1,0.0001,0.0001,0.749757,0.970046,0.436473
1.0,0.0,1.0,0.01,0.1,0.784514,0.968523,0.475955
1.0,0.0,1.0,0.01,0.01,0.743943,0.980102,0.513235
1.0,0.0,1.0,0.01,0.001,0.765125,0.970837,0.411217
1.0,0.0,1.0,0.01,0.0001,0.780246,0.971629,0.410038
1.0,0.0,1.0,0.001,0.1,0.784071,0.976025,0.515054
1.0,0.0,1.0,0.001,0.01,0.780922,0.969995,0.474354
1.0,0.0,1.0,0.001,0.001,0.713784,0.965501,0.423963
1.0,0.0,1.0,0.001,0.0001,0.742811,0.972658,0.502249
1.0,0.0,1.0,0.0001,0.1,0.652364,0.949148,0.300104
1.0,0.0,1.0,0.0001,0.01,0.76831,0.969154,0.468408
1.0,0.0,1.0,0.0001,0.001,0.797606,0.974665,0.515376
1.0,0.0,1.0,0.0001,0.0001,0.665277,0.960099,0.33103
1.0,0.0,10.0,0.01,0.1,0.781856,0.97607,0.508096
1.0,0.0,10.0,0.01,0.01,0.75903,0.977116,0.483126
1.0,0.0,10.0,0.01,0.001,0.748928,0.975068,0.434501
1.0,0.0,10.0,0.01,0.0001,0.745678,0.966765,0.418767
1.0,0.0,10.0,0.001,0.1,0.737385,0.974513,0.431788
1.0,0.0,10.0,0.001,0.01,0.695062,0.962276,0.350348
1.0,0.0,10.0,0.001,0.001,0.771346,0.973073,0.480701
1.0,0.0,10.0,0.001,0.0001,0.714948,0.961413,0.391027
1.0,0.0,10.0,0.0001,0.1,0.749751,0.968907,0.486198
1.0,0.0,10.0,0.0001,0.01,0.756556,0.969711,0.466848
1.0,0.0,10.0,0.0001,0.001,0.733808,0.97195,0.471452
1.0,0.0,10.0,0.0001,0.0001,0.708998,0.958984,0.420568
1.0,0.1,0.0,0.01,0.1,0.742435,0.966095,0.468856
1.0,0.1,0.0,0.01,0.01,0.759418,0.970478,0.494203
1.0,0.1,0.0,0.01,0.001,0.805276,0.975972,0.517532
1.0,0.1,0.0,0.01,0.0001,0.812297,0.980238,0.510494
1.0,0.1,0.0,0.001,0.1,0.739091,0.969263,0.484749
1.0,0.1,0.0,0.001,0.01,0.749221,0.969727,0.491496
1.0,0.1,0.0,0.001,0.001,0.762464,0.971578,0.465061
