alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.982387,0.977336,0.265949
1.0,0.0,0.1,0.01,0.01,0.981757,0.978161,0.269336
1.0,0.0,0.1,0.01,0.001,0.981818,0.977634,0.242551
1.0,0.0,0.1,0.01,0.0001,0.981705,0.98004,0.2832
1.0,0.0,0.1,0.001,0.1,0.981898,0.983612,0.363116
1.0,0.0,0.1,0.001,0.01,0.982223,0.98155,0.33549
1.0,0.0,0.1,0.001,0.001,0.981898,0.980239,0.290197
1.0,0.0,0.1,0.001,0.0001,0.981475,0.98283,0.359623
1.0,0.0,0.1,0.0001,0.1,0.981986,0.976296,0.222086
1.0,0.0,0.1,0.0001,0.01,0.982332,0.9788,0.257443
1.0,0.0,0.1,0.0001,0.001,0.982161,0.979407,0.237925
1.0,0.0,0.1,0.0001,0.0001,0.982117,0.97859,0.242116
1.0,0.0,1.0,0.01,0.1,0.983468,0.977638,0.258438
1.0,0.0,1.0,0.01,0.01,0.980616,0.978116,0.311623
1.0,0.0,1.0,0.01,0.001,0.981771,0.982042,0.316476
1.0,0.0,1.0,0.01,0.0001,0.981245,0.979809,0.290423
1.0,0.0,1.0,0.001,0.1,0.982052,0.980173,0.286901
1.0,0.0,1.0,0.001,0.01,0.982126,0.979626,0.303522
1.0,0.0,1.0,0.001,0.001,0.982439,0.982041,0.326808
1.0,0.0,1.0,0.001,0.0001,0.982149,0.980542,0.308374
1.0,0.0,1.0,0.0001,0.1,0.981896,0.977744,0.241475
1.0,0.0,1.0,0.0001,0.01,0.982439,0.978892,0.272303
1.0,0.0,1.0,0.0001,0.001,0.982555,0.977993,0.238035
1.0,0.0,1.0,0.0001,0.0001,0.98125,0.978996,0.254599
1.0,0.0,10.0,0.01,0.1,0.982088,0.97901,0.293984
1.0,0.0,10.0,0.01,0.01,0.982277,0.978864,0.265927
1.0,0.0,10.0,0.01,0.001,0.981404,0.979024,0.310227
1.0,0.0,10.0,0.01,0.0001,0.981577,0.979772,0.328592
1.0,0.0,10.0,0.001,0.1,0.981643,0.981233,0.342737
1.0,0.0,10.0,0.001,0.01,0.982029,0.983415,0.356501
1.0,0.0,10.0,0.001,0.001,0.983269,0.982969,0.36528
1.0,0.0,10.0,0.001,0.0001,0.981485,0.981626,0.334404
1.0,0.0,10.0,0.0001,0.1,0.981743,0.980566,0.307458
1.0,0.0,10.0,0.0001,0.01,0.981389,0.978419,0.237528
1.0,0.0,10.0,0.0001,0.001,0.981186,0.979051,0.264771
1.0,0.0,10.0,0.0001,0.0001,0.982569,0.978323,0.240061
1.0,0.1,0.0,0.01,0.1,0.981541,0.975764,0.239282
1.0,0.1,0.0,0.01,0.01,0.982789,0.972951,0.199801
1.0,0.1,0.0,0.01,0.001,0.982133,0.973328,0.146697
1.0,0.1,0.0,0.01,0.0001,0.981894,0.973454,0.139589
1.0,0.1,0.0,0.001,0.1,0.981702,0.977783,0.187803
1.0,0.1,0.0,0.001,0.01,0.982375,0.973075,0.138886
1.0,0.1,0.0,0.001,0.001,0.982135,0.973403,0.139182
1.0,0.1,0.0,0.001,0.0001,0.982303,0.975074,0.161386
1.0,0.1,0.0,0.0001,0.1,0.980926,0.976107,0.20392
1.0,0.1,0.0,0.0001,0.01,0.98089,0.973314,0.13059
1.0,0.1,0.0,0.0001,0.001,0.98273,0.973266,0.156277
1.0,0.1,0.0,0.0001,0.0001,0.981058,0.973025,0.119117
1.0,0.1,0.1,0.01,0.1,0.981513,0.977236,0.252912
1.0,0.1,0.1,0.01,0.01,0.980656,0.976166,0.247509
1.0,0.1,0.1,0.01,0.001,0.981321,0.977848,0.244838
1.0,0.1,0.1,0.01,0.0001,0.980651,0.978236,0.234272
1.0,0.1,0.1,0.001,0.1,0.981754,0.977892,0.197743
1.0,0.1,0.1,0.001,0.01,0.981408,0.976851,0.17966
1.0,0.1,0.1,0.001,0.001,0.981008,0.975537,0.169182
1.0,0.1,0.1,0.001,0.0001,0.981714,0.975622,0.187783
1.0,0.1,0.1,0.0001,0.1,0.981655,0.975674,0.166325
1.0,0.1,0.1,0.0001,0.01,0.982199,0.975525,0.159686
1.0,0.1,0.1,0.0001,0.001,0.98231,0.974032,0.131956
1.0,0.1,0.1,0.0001,0.0001,0.980826,0.975388,0.17795
1.0,0.1,1.0,0.01,0.1,0.981977,0.978424,0.285548
1.0,0.1,1.0,0.01,0.01,0.981903,0.976958,0.280308
1.0,0.1,1.0,0.01,0.001,0.983324,0.983355,0.31186
1.0,0.1,1.0,0.01,0.0001,0.981801,0.980262,0.29161
1.0,0.1,1.0,0.001,0.1,0.982699,0.981146,0.300542
1.0,0.1,1.0,0.001,0.01,0.980583,0.979422,0.326634
1.0,0.1,1.0,0.001,0.001,0.98152,0.98005,0.32518
1.0,0.1,1.0,0.001,0.0001,0.981319,0.980822,0.304564
