alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.749836,0.960939,0.490768
1.0,0.0,0.1,0.01,0.01,0.741603,0.959294,0.505048
1.0,0.0,0.1,0.01,0.001,0.738816,0.959476,0.515057
1.0,0.0,0.1,0.01,0.0001,0.735821,0.960949,0.511734
1.0,0.0,0.1,0.001,0.1,0.746593,0.960731,0.490557
1.0,0.0,0.1,0.001,0.01,0.750905,0.960491,0.484735
1.0,0.0,0.1,0.001,0.001,0.750163,0.959512,0.446112
1.0,0.0,0.1,0.001,0.0001,0.752703,0.959005,0.445564
1.0,0.0,0.1,0.0001,0.1,0.751195,0.959725,0.446096
1.0,0.0,0.1,0.0001,0.01,0.746899,0.959131,0.450638
1.0,0.0,0.1,0.0001,0.001,0.755053,0.960723,0.451977
1.0,0.0,0.1,0.0001,0.0001,0.742791,0.960179,0.449549
1.0,0.0,1.0,0.01,0.1,0.738296,0.958407,0.507543
1.0,0.0,1.0,0.01,0.01,0.733428,0.958625,0.516802
1.0,0.0,1.0,0.01,0.001,0.744435,0.959801,0.496142
1.0,0.0,1.0,0.01,0.0001,0.755419,0.96024,0.479404
1.0,0.0,1.0,0.001,0.1,0.741841,0.960329,0.484821
1.0,0.0,1.0,0.001,0.01,0.751175,0.959683,0.44354
1.0,0.0,1.0,0.001,0.001,0.751181,0.959908,0.453747
1.0,0.0,1.0,0.001,0.0001,0.747841,0.962157,0.473996
1.0,0.0,1.0,0.0001,0.1,0.745188,0.960992,0.428265
1.0,0.0,1.0,0.0001,0.01,0.746827,0.961648,0.436438
1.0,0.0,1.0,0.0001,0.001,0.753769,0.960862,0.448671
1.0,0.0,1.0,0.0001,0.0001,0.756188,0.96141,0.456472
1.0,0.0,10.0,0.01,0.1,0.744822,0.958715,0.513546
1.0,0.0,10.0,0.01,0.01,0.745585,0.959942,0.498092
1.0,0.0,10.0,0.01,0.001,0.751705,0.96049,0.474859
1.0,0.0,10.0,0.01,0.0001,0.744921,0.960664,0.473031
1.0,0.0,10.0,0.001,0.1,0.753708,0.959823,0.442828
1.0,0.0,10.0,0.001,0.01,0.753702,0.960545,0.455459
1.0,0.0,10.0,0.001,0.001,0.751972,0.961127,0.455721
1.0,0.0,10.0,0.001,0.0001,0.74818,0.960727,0.481498
1.0,0.0,10.0,0.0001,0.1,0.743631,0.958989,0.427147
1.0,0.0,10.0,0.0001,0.01,0.757972,0.96304,0.453133
1.0,0.0,10.0,0.0001,0.001,0.753004,0.96253,0.450942
1.0,0.0,10.0,0.0001,0.0001,0.745907,0.96087,0.437741
1.0,0.1,0.0,0.01,0.1,0.7475,0.960491,0.492526
1.0,0.1,0.0,0.01,0.01,0.749501,0.958816,0.500144
1.0,0.1,0.0,0.01,0.001,0.746073,0.959444,0.517963
1.0,0.1,0.0,0.01,0.0001,0.751514,0.961263,0.467006
1.0,0.1,0.0,0.001,0.1,0.748921,0.960052,0.468961
1.0,0.1,0.0,0.001,0.01,0.748917,0.959745,0.443709
1.0,0.1,0.0,0.001,0.001,0.751974,0.958943,0.439673
1.0,0.1,0.0,0.001,0.0001,0.747469,0.963113,0.445159
1.0,0.1,0.0,0.0001,0.1,0.755786,0.960678,0.468933
1.0,0.1,0.0,0.0001,0.01,0.749097,0.95985,0.443951
1.0,0.1,0.0,0.0001,0.001,0.749772,0.960242,0.44056
1.0,0.1,0.0,0.0001,0.0001,0.746881,0.960974,0.43422
1.0,0.1,0.1,0.01,0.1,0.743839,0.959856,0.498273
1.0,0.1,0.1,0.01,0.01,0.744717,0.960374,0.512316
1.0,0.1,0.1,0.01,0.001,0.745183,0.960082,0.512633
1.0,0.1,0.1,0.01,0.0001,0.758424,0.961428,0.498663
1.0,0.1,0.1,0.001,0.1,0.749789,0.958995,0.482664
1.0,0.1,0.1,0.001,0.01,0.754392,0.961358,0.467059
1.0,0.1,0.1,0.001,0.001,0.748799,0.958914,0.435553
1.0,0.1,0.1,0.001,0.0001,0.75868,0.960959,0.444809
1.0,0.1,0.1,0.0001,0.1,0.747256,0.96026,0.463481
1.0,0.1,0.1,0.0001,0.01,0.750621,0.960568,0.457508
1.0,0.1,0.1,0.0001,0.001,0.747802,0.9592,0.448522
1.0,0.1,0.1,0.0001,0.0001,0.753848,0.960641,0.454895
1.0,0.1,1.0,0.01,0.1,0.74122,0.959085,0.502794
1.0,0.1,1.0,0.01,0.01,0.74176,0.95957,0.515159
1.0,0.1,1.0,0.01,0.001,0.757224,0.960812,0.488326
1.0,0.1,1.0,0.01,0.0001,0.756954,0.960853,0.480366
1.0,0.1,1.0,0.001,0.1,0.742682,0.959907,0.478284
1.0,0.1,1.0,0.001,0.01,0.746714,0.959678,0.434931
1.0,0.1,1.0,0.001,0.001,0.746978,0.961839,0.467999
1.0,0.1,1.0,0.001,0.0001,0.747178,0.960898,0.444183
1.0,0.1,1.0,0.0001,0.1,0.756928,0.961171,0.464354
1.0,0.1,1.0,0.0001,0.01,0.749166,0.95983,0.445524
1.0,0.1,1.0,0.0001,0.001,0.748583,0.961257,0.44384
1.0,0.1,1.0,0.0001,0.0001,0.752126,0.960398,0.456266
1.0,0.1,10.0,0.01,0.1,0.744971,0.959784,0.509796
1.0,0.1,10.0,0.01,0.01,0.742558,0.96027,0.488995
1.0,0.1,10.0,0.01,0.001,0.749315,0.958678,0.445903
1.0,0.1,10.0,0.01,0.0001,0.737923,0.959321,0.469923
1.0,0.1,10.0,0.001,0.1,0.755063,0.961062,0.458032
1.0,0.1,10.0,0.001,0.01,0.753005,0.960228,0.450709
1.0,0.1,10.0,0.001,0.001,0.747817,0.959876,0.461756
1.0,0.1,10.0,0.001,0.0001,0.750995,0.96082,0.460449
1.0,0.1,10.0,0.0001,0.1,0.744023,0.959546,0.42698
1.0,0.1,10.0,0.0001,0.01,0.747043,0.959617,0.431171
1.0,0.1,10.0,0.0001,0.001,0.752366,0.960893,0.444926
1.0,0.1,10.0,0.0001,0.0001,0.752127,0.961014,0.441944
1.0,1.0,0.0,0.01,0.1,0.739843,0.95863,0.49865
1.0,1.0,0.0,0.01,0.01,0.744157,0.958836,0.521275
1.0,1.0,0.0,0.01,0.001,0.744216,0.961097,0.464224
1.0,1.0,0.0,0.01,0.0001,0.746511,0.96,0.434231
1.0,1.0,0.0,0.001,0.1,0.737131,0.960143,0.44536
1.0,1.0,0.0,0.001,0.01,0.747764,0.960801,0.433604
1.0,1.0,0.0,0.001,0.001,0.752943,0.961464,0.442202
1.0,1.0,0.0,0.001,0.0001,0.750347,0.961996,0.447613
1.0,1.0,0.0,0.0001,0.1,0.750091,0.960526,0.448663
1.0,1.0,0.0,0.0001,0.01,0.749695,0.960708,0.452793
1.0,1.0,0.0,0.0001,0.001,0.75076,0.961727,0.444515
1.0,1.0,0.0,0.0001,0.0001,0.751865,0.960167,0.430911
1.0,1.0,0.1,0.01,0.1,0.73835,0.959102,0.498656
1.0,1.0,0.1,0.01,0.01,0.746067,0.959373,0.512677
1.0,1.0,0.1,0.01,0.001,0.741426,0.96087,0.515713
1.0,1.0,0.1,0.01,0.0001,0.753066,0.958943,0.436911
1.0,1.0,0.1,0.001,0.1,0.751094,0.961269,0.468819
1.0,1.0,0.1,0.001,0.01,0.749237,0.961397,0.443171
1.0,1.0,0.1,0.001,0.001,0.755486,0.961922,0.439158
1.0,1.0,0.1,0.001,0.0001,0.752492,0.961017,0.439323
1.0,1.0,0.1,0.0001,0.1,0.746671,0.959511,0.433361
1.0,1.0,0.1,0.0001,0.01,0.753305,0.960373,0.44755
1.0,1.0,0.1,0.0001,0.001,0.742307,0.958704,0.433314
1.0,1.0,0.1,0.0001,0.0001,0.746983,0.960887,0.46545
1.0,1.0,1.0,0.01,0.1,0.749357,0.959579,0.507595
1.0,1.0,1.0,0.01,0.01,0.741851,0.959281,0.517336
1.0,1.0,1.0,0.01,0.001,0.74559,0.959911,0.493077
1.0,1.0,1.0,0.01,0.0001,0.743585,0.95852,0.436222
1.0,1.0,1.0,0.001,0.1,0.742941,0.959316,0.479271
1.0,1.0,1.0,0.001,0.01,0.750627,0.961543,0.479973
1.0,1.0,1.0,0.001,0.001,0.741157,0.960687,0.431091
1.0,1.0,1.0,0.001,0.0001,0.752911,0.960242,0.453436
1.0,1.0,1.0,0.0001,0.1,0.753194,0.96097,0.470225
1.0,1.0,1.0,0.0001,0.01,0.747376,0.961894,0.456721
1.0,1.0,1.0,0.0001,0.001,0.755996,0.961866,0.453513
1.0,1.0,1.0,0.0001,0.0001,0.755928,0.961443,0.465508
1.0,1.0,10.0,0.01,0.1,0.74231,0.959032,0.510041
1.0,1.0,10.0,0.01,0.01,0.744711,0.95882,0.502643
1.0,1.0,10.0,0.01,0.001,0.749931,0.95981,0.466552
1.0,1.0,10.0,0.01,0.0001,0.754311,0.961136,0.479824
1.0,1.0,10.0,0.001,0.1,0.75062,0.959464,0.441258
1.0,1.0,10.0,0.001,0.01,0.75783,0.961334,0.462977
1.0,1.0,10.0,0.001,0.001,0.745635,0.959395,0.441393
1.0,1.0,10.0,0.001,0.0001,0.747875,0.960481,0.448797
1.0,1.0,10.0,0.0001,0.1,0.745794,0.960479,0.449153
1.0,1.0,10.0,0.0001,0.01,0.751879,0.961526,0.439811
1.0,1.0,10.0,0.0001,0.001,0.757316,0.962193,0.460246
1.0,1.0,10.0,0.0001,0.0001,0.754023,0.960195,0.448241
1.0,10.0,0.0,0.01,0.1,0.774407,0.959208,0.480379
1.0,10.0,0.0,0.01,0.01,0.750911,0.960627,0.491066
1.0,10.0,0.0,0.01,0.001,0.749935,0.961184,0.444215
1.0,10.0,0.0,0.01,0.0001,0.747035,0.959864,0.44761
1.0,10.0,0.0,0.001,0.1,0.750679,0.963323,0.442472
1.0,10.0,0.0,0.001,0.01,0.743839,0.96053,0.45551
1.0,10.0,0.0,0.001,0.001,0.753321,0.961899,0.44743
1.0,10.0,0.0,0.001,0.0001,0.752339,0.960649,0.438564
1.0,10.0,0.0,0.0001,0.1,0.753288,0.959004,0.441883
1.0,10.0,0.0,0.0001,0.01,0.749874,0.959612,0.446547
1.0,10.0,0.0,0.0001,0.001,0.753578,0.960141,0.433392
1.0,10.0,0.0,0.0001,0.0001,0.750741,0.96105,0.438638
1.0,10.0,0.1,0.01,0.1,0.75472,0.959568,0.517121
1.0,10.0,0.1,0.01,0.01,0.743722,0.959265,0.454841
1.0,10.0,0.1,0.01,0.001,0.74775,0.959767,0.434596
1.0,10.0,0.1,0.01,0.0001,0.744564,0.961243,0.422114
1.0,10.0,0.1,0.001,0.1,0.748861,0.961115,0.450724
1.0,10.0,0.1,0.001,0.01,0.748819,0.962129,0.434052
1.0,10.0,0.1,0.001,0.001,0.753592,0.962853,0.452871
1.0,10.0,0.1,0.001,0.0001,0.751843,0.960587,0.45057
1.0,10.0,0.1,0.0001,0.1,0.751987,0.959658,0.441268
1.0,10.0,0.1,0.0001,0.01,0.754324,0.961393,0.472358
1.0,10.0,0.1,0.0001,0.001,0.756593,0.961252,0.456882
1.0,10.0,0.1,0.0001,0.0001,0.749403,0.961379,0.448639
1.0,10.0,1.0,0.01,0.1,0.737841,0.959801,0.515906
1.0,10.0,1.0,0.01,0.01,0.74526,0.958827,0.461421
1.0,10.0,1.0,0.01,0.001,0.750771,0.960364,0.457881
1.0,10.0,1.0,0.01,0.0001,0.746954,0.959166,0.441182
1.0,10.0,1.0,0.001,0.1,0.750297,0.959402,0.450619
1.0,10.0,1.0,0.001,0.01,0.745349,0.962157,0.429001
1.0,10.0,1.0,0.001,0.001,0.752565,0.962714,0.438596
1.0,10.0,1.0,0.001,0.0001,0.755512,0.961011,0.449984
1.0,10.0,1.0,0.0001,0.1,0.752039,0.961023,0.449943
1.0,10.0,1.0,0.0001,0.01,0.750116,0.960304,0.442681
1.0,10.0,1.0,0.0001,0.001,0.753188,0.959927,0.450821
1.0,10.0,1.0,0.0001,0.0001,0.756944,0.960509,0.446934
1.0,10.0,10.0,0.01,0.1,0.743859,0.95992,0.514169
1.0,10.0,10.0,0.01,0.01,0.752466,0.960688,0.488667
1.0,10.0,10.0,0.01,0.001,0.746511,0.95877,0.434958
1.0,10.0,10.0,0.01,0.0001,0.746261,0.95868,0.438629
1.0,10.0,10.0,0.001,0.1,0.744621,0.960672,0.436702
1.0,10.0,10.0,0.001,0.01,0.756639,0.961011,0.466925
1.0,10.0,10.0,0.001,0.001,0.750204,0.962606,0.452407
1.0,10.0,10.0,0.001,0.0001,0.74249,0.96033,0.435217
1.0,10.0,10.0,0.0001,0.1,0.752241,0.960773,0.447287
1.0,10.0,10.0,0.0001,0.01,0.75936,0.961085,0.462913
1.0,10.0,10.0,0.0001,0.001,0.758387,0.961613,0.470311
1.0,10.0,10.0,0.0001,0.0001,0.750723,0.961028,0.445232
