alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.82816,0.958718,0.129627
1.0,0.0,0.1,0.01,0.01,0.970009,0.984307,0.464452
1.0,0.0,0.1,0.01,0.001,0.887039,0.95067,0.137972
1.0,0.0,0.1,0.01,0.0001,0.747521,0.950045,0.079123
1.0,0.0,0.1,0.001,0.1,0.963369,0.981753,0.300118
1.0,0.0,0.1,0.001,0.01,0.911591,0.961426,0.207516
1.0,0.0,0.1,0.001,0.001,0.787289,0.946652,0.078869
1.0,0.0,0.1,0.001,0.0001,0.765814,0.926738,0.051301
1.0,0.0,0.1,0.0001,0.1,0.672214,0.952391,0.075048
1.0,0.0,0.1,0.0001,0.01,0.752538,0.946297,0.096189
1.0,0.0,0.1,0.0001,0.001,0.85875,0.964753,0.214385
1.0,0.0,0.1,0.0001,0.0001,0.863309,0.949799,0.141388
1.0,0.0,1.0,0.01,0.1,0.941428,0.978402,0.313086
1.0,0.0,1.0,0.01,0.01,0.951828,0.971499,0.231327
1.0,0.0,1.0,0.01,0.001,0.714706,0.942072,0.068556
1.0,0.0,1.0,0.01,0.0001,0.837495,0.964623,0.127766
1.0,0.0,1.0,0.001,0.1,0.878146,0.97161,0.220029
1.0,0.0,1.0,0.001,0.01,0.826253,0.955788,0.148604
1.0,0.0,1.0,0.001,0.001,0.735184,0.9177,0.054262
1.0,0.0,1.0,0.001,0.0001,0.805156,0.936921,0.099164
1.0,0.0,1.0,0.0001,0.1,0.90982,0.970472,0.226693
1.0,0.0,1.0,0.0001,0.01,0.785554,0.94483,0.110404
1.0,0.0,1.0,0.0001,0.001,0.846974,0.961334,0.189677
1.0,0.0,1.0,0.0001,0.0001,0.832701,0.958506,0.121891
1.0,0.0,10.0,0.01,0.1,0.919115,0.970975,0.192993
1.0,0.0,10.0,0.01,0.01,0.666416,0.945369,0.069825
1.0,0.0,10.0,0.01,0.001,0.755036,0.94879,0.060143
1.0,0.0,10.0,0.01,0.0001,0.74263,0.951661,0.102034
1.0,0.0,10.0,0.001,0.1,0.72902,0.940984,0.085879
1.0,0.0,10.0,0.001,0.01,0.856465,0.941396,0.095616
1.0,0.0,10.0,0.001,0.001,0.836395,0.955177,0.142372
1.0,0.0,10.0,0.001,0.0001,0.834664,0.930627,0.085824
1.0,0.0,10.0,0.0001,0.1,0.692252,0.954591,0.102531
1.0,0.0,10.0,0.0001,0.01,0.853459,0.96419,0.152488
1.0,0.0,10.0,0.0001,0.001,0.82767,0.947723,0.145965
1.0,0.0,10.0,0.0001,0.0001,0.880779,0.956407,0.147322
1.0,0.1,0.0,0.01,0.1,0.619373,0.944175,0.049895
1.0,0.1,0.0,0.01,0.01,0.97898,0.985253,0.447865
1.0,0.1,0.0,0.01,0.001,0.983006,0.987809,0.447698
1.0,0.1,0.0,0.01,0.0001,0.989609,0.989266,0.445504
1.0,0.1,0.0,0.001,0.1,0.978466,0.988675,0.504522
1.0,0.1,0.0,0.001,0.01,0.984647,0.991041,0.51048
1.0,0.1,0.0,0.001,0.001,0.984273,0.988913,0.455501
1.0,0.1,0.0,0.001,0.0001,0.987898,0.990978,0.507756
1.0,0.1,0.0,0.0001,0.1,0.979702,0.987785,0.416896
1.0,0.1,0.0,0.0001,0.01,0.975443,0.981977,0.396601
1.0,0.1,0.0,0.0001,0.001,0.979307,0.987341,0.415395
1.0,0.1,0.0,0.0001,0.0001,0.985938,0.989356,0.456283
1.0,0.1,0.1,0.01,0.1,0.710533,0.941071,0.089234
1.0,0.1,0.1,0.01,0.01,0.980118,0.985951,0.447583
1.0,0.1,0.1,0.01,0.001,0.970419,0.981943,0.306992
