alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.1,0.01,0.940462,0.994497,0.275639
1.0,0.0,0.1,0.1,0.001,0.981898,0.99838,0.342319
1.0,0.0,0.1,0.1,0.0001,0.95496,0.995543,0.299964
1.0,0.0,0.1,0.01,0.01,0.969501,0.99724,0.327447
1.0,0.0,0.1,0.01,0.001,0.983682,0.9967,0.282819
1.0,0.0,0.1,0.01,0.0001,0.794396,0.985354,0.166812
1.0,0.0,0.1,0.001,0.01,0.834837,0.987471,0.227077
1.0,0.0,0.1,0.001,0.001,0.801534,0.981818,0.171859
1.0,0.0,0.1,0.001,0.0001,0.715668,0.971639,0.117807
1.0,0.0,0.1,0.0001,0.01,0.781174,0.984467,0.158097
1.0,0.0,0.1,0.0001,0.001,0.807344,0.979928,0.184412
1.0,0.0,0.1,0.0001,0.0001,0.900447,0.98513,0.219477
1.0,0.0,1.0,0.1,0.01,0.982784,0.998526,0.341337
1.0,0.0,1.0,0.1,0.001,0.972431,0.996827,0.31928
1.0,0.0,1.0,0.1,0.0001,0.97001,0.997233,0.328872
1.0,0.0,1.0,0.01,0.01,0.982181,0.996697,0.279526
1.0,0.0,1.0,0.01,0.001,0.819032,0.984103,0.169224
1.0,0.0,1.0,0.01,0.0001,0.750592,0.98324,0.145245
1.0,0.0,1.0,0.001,0.01,0.846655,0.976351,0.190858
1.0,0.0,1.0,0.001,0.001,0.783096,0.973838,0.155625
1.0,0.0,1.0,0.001,0.0001,0.903279,0.986638,0.21522
1.0,0.0,1.0,0.0001,0.01,0.798674,0.981655,0.165294
1.0,0.0,1.0,0.0001,0.001,0.893431,0.985229,0.230608
1.0,0.0,1.0,0.0001,0.0001,0.829332,0.985592,0.192118
1.0,0.0,10.0,0.1,0.01,0.972239,0.996467,0.28598
1.0,0.0,10.0,0.1,0.001,0.966326,0.99577,0.278591
1.0,0.0,10.0,0.1,0.0001,0.935301,0.994351,0.269708
1.0,0.0,10.0,0.01,0.01,0.735599,0.981722,0.126004
1.0,0.0,10.0,0.01,0.001,0.875691,0.989427,0.206108
1.0,0.0,10.0,0.01,0.0001,0.8153,0.984988,0.183201
1.0,0.0,10.0,0.001,0.01,0.742746,0.969683,0.14456
1.0,0.0,10.0,0.001,0.001,0.747427,0.964295,0.121183
1.0,0.0,10.0,0.001,0.0001,0.865388,0.980041,0.201822
1.0,0.0,10.0,0.0001,0.01,0.876849,0.987599,0.22996
1.0,0.0,10.0,0.0001,0.001,0.886769,0.988838,0.233696
1.0,0.0,10.0,0.0001,0.0001,0.844695,0.986184,0.200019
1.0,0.1,0.0,0.1,0.01,0.964526,0.995888,0.289771
1.0,0.1,0.0,0.1,0.001,0.985021,0.998545,0.348009
1.0,0.1,0.0,0.1,0.0001,0.983397,0.997566,0.341124
1.0,0.1,0.0,0.01,0.01,0.979467,0.997593,0.346333
1.0,0.1,0.0,0.01,0.001,0.981569,0.99792,0.34986
1.0,0.1,0.0,0.01,0.0001,0.979339,0.998549,0.342967
1.0,0.1,0.0,0.001,0.01,0.98357,0.998489,0.346686
1.0,0.1,0.0,0.001,0.001,0.98197,0.998318,0.347034
1.0,0.1,0.0,0.001,0.0001,0.982192,0.998314,0.346107
1.0,0.1,0.0,0.0001,0.01,0.983047,0.998797,0.352433
1.0,0.1,0.0,0.0001,0.001,0.98249,0.997974,0.33069
1.0,0.1,0.0,0.0001,0.0001,0.981326,0.998218,0.334067
1.0,0.1,0.1,0.1,0.01,0.977855,0.997218,0.342446
1.0,0.1,0.1,0.1,0.001,0.983061,0.998801,0.356331
1.0,0.1,0.1,0.1,0.0001,0.983605,0.998964,0.354782
1.0,0.1,0.1,0.01,0.01,0.977644,0.997273,0.338981
1.0,0.1,0.1,0.01,0.001,0.970824,0.99538,0.316852
1.0,0.1,0.1,0.01,0.0001,0.981066,0.996932,0.3076
1.0,0.1,0.1,0.001,0.01,0.981918,0.99793,0.329302
1.0,0.1,0.1,0.001,0.001,0.98233,0.998238,0.334684
1.0,0.1,0.1,0.001,0.0001,0.983504,0.998263,0.337948
1.0,0.1,0.1,0.0001,0.01,0.967663,0.995003,0.30362
1.0,0.1,0.1,0.0001,0.001,0.977361,0.997343,0.326877
1.0,0.1,0.1,0.0001,0.0001,0.939626,0.993579,0.287337
1.0,0.1,1.0,0.1,0.01,0.982846,0.998324,0.334214
1.0,0.1,1.0,0.1,0.001,0.898788,0.992453,0.248883
1.0,0.1,1.0,0.1,0.0001,0.960615,0.99564,0.309421
1.0,0.1,1.0,0.01,0.01,0.981181,0.998144,0.33377
1.0,0.1,1.0,0.01,0.001,0.816146,0.982517,0.180557
1.0,0.1,1.0,0.01,0.0001,0.710997,0.974497,0.127654
1.0,0.1,1.0,0.001,0.01,0.836679,0.976766,0.181008
1.0,0.1,1.0,0.001,0.001,0.885481,0.982977,0.214937
1.0,0.1,1.0,0.001,0.0001,0.890634,0.983824,0.225175
1.0,0.1,1.0,0.0001,0.01,0.800364,0.981386,0.171656
1.0,0.1,1.0,0.0001,0.001,0.855267,0.984002,0.211051
1.0,0.1,1.0,0.0001,0.0001,0.914716,0.98637,0.242964
1.0,0.1,10.0,0.1,0.01,0.937069,0.993329,0.251526
1.0,0.1,10.0,0.1,0.001,0.875717,0.988705,0.218982
1.0,0.1,10.0,0.1,0.0001,0.960571,0.996136,0.299144
1.0,0.1,10.0,0.01,0.01,0.844101,0.988382,0.206991
1.0,0.1,10.0,0.01,0.001,0.841311,0.986899,0.194826
1.0,0.1,10.0,0.01,0.0001,0.735582,0.976923,0.124752
1.0,0.1,10.0,0.001,0.01,0.766437,0.965137,0.140637
1.0,0.1,10.0,0.001,0.001,0.768802,0.971849,0.15116
1.0,0.1,10.0,0.001,0.0001,0.820703,0.975845,0.175091
1.0,0.1,10.0,0.0001,0.01,0.839508,0.985288,0.196657
1.0,0.1,10.0,0.0001,0.001,0.841492,0.983145,0.190475
1.0,0.1,10.0,0.0001,0.0001,0.832098,0.978957,0.191439
1.0,1.0,0.0,0.1,0.01,0.985166,0.998479,0.34966
1.0,1.0,0.0,0.1,0.001,0.983376,0.997392,0.330844
1.0,1.0,0.0,0.1,0.0001,0.983859,0.99839,0.339627
1.0,1.0,0.0,0.01,0.01,0.983369,0.997942,0.344474
1.0,1.0,0.0,0.01,0.001,0.986376,0.998503,0.339645
1.0,1.0,0.0,0.01,0.0001,0.981489,0.998372,0.34159
1.0,1.0,0.0,0.001,0.01,0.982614,0.998604,0.350831
1.0,1.0,0.0,0.001,0.001,0.983753,0.998555,0.353171
1.0,1.0,0.0,0.001,0.0001,0.983314,0.998568,0.353421
1.0,1.0,0.0,0.0001,0.01,0.983276,0.998526,0.3412
1.0,1.0,0.0,0.0001,0.001,0.97973,0.998465,0.34028
1.0,1.0,0.0,0.0001,0.0001,0.981333,0.998301,0.344704
1.0,1.0,0.1,0.1,0.01,0.983767,0.998333,0.351314
1.0,1.0,0.1,0.1,0.001,0.980731,0.997824,0.339852
1.0,1.0,0.1,0.1,0.0001,0.984425,0.997681,0.320614
1.0,1.0,0.1,0.01,0.01,0.983767,0.998146,0.346087
1.0,1.0,0.1,0.01,0.001,0.984311,0.998477,0.3444
1.0,1.0,0.1,0.01,0.0001,0.981008,0.998364,0.344017
1.0,1.0,0.1,0.001,0.01,0.984688,0.998937,0.356766
1.0,1.0,0.1,0.001,0.001,0.980097,0.99861,0.351219
1.0,1.0,0.1,0.001,0.0001,0.982718,0.998861,0.355748
