alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.987254,0.997598,0.348276
1.0,0.0,0.1,0.01,0.01,0.989304,0.998078,0.35704
1.0,0.0,0.1,0.01,0.001,0.991359,0.998301,0.342867
1.0,0.0,0.1,0.01,0.0001,0.906087,0.989792,0.230859
1.0,0.0,0.1,0.001,0.1,0.990149,0.99863,0.365104
1.0,0.0,0.1,0.001,0.01,0.992465,0.99864,0.361114
1.0,0.0,0.1,0.001,0.001,0.960007,0.994082,0.290531
1.0,0.0,0.1,0.001,0.0001,0.941274,0.992387,0.266908
1.0,0.0,0.1,0.0001,0.1,0.749439,0.979425,0.142385
1.0,0.0,0.1,0.0001,0.01,0.753321,0.977035,0.151651
1.0,0.0,0.1,0.0001,0.001,0.862327,0.989003,0.213478
1.0,0.0,0.1,0.0001,0.0001,0.776832,0.981869,0.161355
1.0,0.0,1.0,0.01,0.1,0.990897,0.998045,0.357076
1.0,0.0,1.0,0.01,0.01,0.99304,0.998686,0.358783
1.0,0.0,1.0,0.01,0.001,0.974107,0.996543,0.309598
1.0,0.0,1.0,0.01,0.0001,0.958601,0.991799,0.2717
1.0,0.0,1.0,0.001,0.1,0.985791,0.997737,0.325344
1.0,0.0,1.0,0.001,0.01,0.903134,0.986328,0.225206
1.0,0.0,1.0,0.001,0.001,0.924931,0.989655,0.249563
1.0,0.0,1.0,0.001,0.0001,0.87633,0.988925,0.232192
1.0,0.0,1.0,0.0001,0.1,0.805301,0.986096,0.188588
1.0,0.0,1.0,0.0001,0.01,0.831409,0.984629,0.19183
1.0,0.0,1.0,0.0001,0.001,0.74026,0.979846,0.139355
1.0,0.0,1.0,0.0001,0.0001,0.846479,0.989631,0.206973
1.0,0.0,10.0,0.01,0.1,0.984221,0.996343,0.331117
1.0,0.0,10.0,0.01,0.01,0.977538,0.995144,0.319153
1.0,0.0,10.0,0.01,0.001,0.959394,0.995002,0.291697
1.0,0.0,10.0,0.01,0.0001,0.961108,0.995419,0.299975
1.0,0.0,10.0,0.001,0.1,0.865727,0.987252,0.211447
1.0,0.0,10.0,0.001,0.01,0.89751,0.990131,0.23381
1.0,0.0,10.0,0.001,0.001,0.965925,0.992862,0.279532
1.0,0.0,10.0,0.001,0.0001,0.917521,0.987174,0.245441
1.0,0.0,10.0,0.0001,0.1,0.859619,0.988927,0.205455
1.0,0.0,10.0,0.0001,0.01,0.777427,0.9775,0.15683
1.0,0.0,10.0,0.0001,0.001,0.663698,0.973755,0.101183
1.0,0.0,10.0,0.0001,0.0001,0.785911,0.983762,0.169766
1.0,0.1,0.0,0.01,0.1,0.989389,0.998449,0.360686
1.0,0.1,0.0,0.01,0.01,0.989463,0.998226,0.351855
1.0,0.1,0.0,0.01,0.001,0.993733,0.998702,0.360611
1.0,0.1,0.0,0.01,0.0001,0.991811,0.998854,0.35938
1.0,0.1,0.0,0.001,0.1,0.990547,0.998658,0.361592
1.0,0.1,0.0,0.001,0.01,0.990769,0.998729,0.354107
1.0,0.1,0.0,0.001,0.001,0.990731,0.998724,0.356305
1.0,0.1,0.0,0.001,0.0001,0.992548,0.998825,0.356552
1.0,0.1,0.0,0.0001,0.1,0.989699,0.998518,0.347798
1.0,0.1,0.0,0.0001,0.01,0.994276,0.99858,0.349888
1.0,0.1,0.0,0.0001,0.001,0.990699,0.997737,0.330397
1.0,0.1,0.0,0.0001,0.0001,0.990149,0.998373,0.344649
1.0,0.1,0.1,0.01,0.1,0.990765,0.998626,0.36461
1.0,0.1,0.1,0.01,0.01,0.991998,0.998582,0.354069
1.0,0.1,0.1,0.01,0.001,0.988314,0.998728,0.357566
1.0,0.1,0.1,0.01,0.0001,0.991728,0.998398,0.343049
1.0,0.1,0.1,0.001,0.1,0.986099,0.998507,0.358444
1.0,0.1,0.1,0.001,0.01,0.991001,0.998342,0.342798
1.0,0.1,0.1,0.001,0.001,0.993224,0.997812,0.330338
1.0,0.1,0.1,0.001,0.0001,0.992171,0.998076,0.338171
1.0,0.1,0.1,0.0001,0.1,0.802171,0.986992,0.175928
1.0,0.1,0.1,0.0001,0.01,0.983494,0.9972,0.315822
1.0,0.1,0.1,0.0001,0.001,0.972905,0.994807,0.291244
1.0,0.1,0.1,0.0001,0.0001,0.900997,0.992728,0.251811
1.0,0.1,1.0,0.01,0.1,0.984974,0.998415,0.356758
1.0,0.1,1.0,0.01,0.01,0.991946,0.997318,0.330491
1.0,0.1,1.0,0.01,0.001,0.948386,0.994709,0.287605
1.0,0.1,1.0,0.01,0.0001,0.982825,0.995487,0.302995
1.0,0.1,1.0,0.001,0.1,0.98983,0.99807,0.346178
1.0,0.1,1.0,0.001,0.01,0.974723,0.995831,0.302595
1.0,0.1,1.0,0.001,0.001,0.960738,0.992101,0.282538
1.0,0.1,1.0,0.001,0.0001,0.973528,0.993144,0.271973
1.0,0.1,1.0,0.0001,0.1,0.788116,0.984438,0.153422
1.0,0.1,1.0,0.0001,0.01,0.829089,0.988221,0.195189
1.0,0.1,1.0,0.0001,0.001,0.8576,0.988219,0.210431
1.0,0.1,1.0,0.0001,0.0001,0.771463,0.980643,0.140623
1.0,0.1,10.0,0.01,0.1,0.992341,0.998654,0.355125
1.0,0.1,10.0,0.01,0.01,0.962677,0.993893,0.288406
1.0,0.1,10.0,0.01,0.001,0.970571,0.993933,0.284586
1.0,0.1,10.0,0.01,0.0001,0.970855,0.995376,0.303443
1.0,0.1,10.0,0.001,0.1,0.932978,0.992082,0.257681
1.0,0.1,10.0,0.001,0.01,0.872213,0.987198,0.201413
1.0,0.1,10.0,0.001,0.001,0.878992,0.987495,0.214308
1.0,0.1,10.0,0.001,0.0001,0.899858,0.988653,0.22671
1.0,0.1,10.0,0.0001,0.1,0.764952,0.979531,0.145483
1.0,0.1,10.0,0.0001,0.01,0.79117,0.977645,0.163031
1.0,0.1,10.0,0.0001,0.001,0.881908,0.990838,0.225054
1.0,0.1,10.0,0.0001,0.0001,0.888733,0.985196,0.227757
1.0,1.0,0.0,0.01,0.1,0.989896,0.998548,0.359609
1.0,1.0,0.0,0.01,0.01,0.991769,0.998789,0.361121
1.0,1.0,0.0,0.01,0.001,0.994917,0.998502,0.350606
1.0,1.0,0.0,0.01,0.0001,0.992701,0.998498,0.355755
1.0,1.0,0.0,0.001,0.1,0.992043,0.998613,0.355306
1.0,1.0,0.0,0.001,0.01,0.989799,0.998912,0.359518
1.0,1.0,0.0,0.001,0.001,0.991593,0.998554,0.354163
1.0,1.0,0.0,0.001,0.0001,0.991911,0.998601,0.354095
1.0,1.0,0.0,0.0001,0.1,0.958148,0.996397,0.305557
1.0,1.0,0.0,0.0001,0.01,0.991295,0.99801,0.332465
1.0,1.0,0.0,0.0001,0.001,0.993449,0.998534,0.352329
1.0,1.0,0.0,0.0001,0.0001,0.991641,0.998265,0.339907
1.0,1.0,0.1,0.01,0.1,0.988198,0.998089,0.353634
1.0,1.0,0.1,0.01,0.01,0.991489,0.998587,0.358501
1.0,1.0,0.1,0.01,0.001,0.992649,0.99873,0.357759
1.0,1.0,0.1,0.01,0.0001,0.991229,0.99844,0.350494
1.0,1.0,0.1,0.001,0.1,0.992656,0.998847,0.357994
1.0,1.0,0.1,0.001,0.01,0.98974,0.998946,0.362899
1.0,1.0,0.1,0.001,0.001,0.993054,0.998607,0.358856
1.0,1.0,0.1,0.001,0.0001,0.992157,0.998891,0.357454
1.0,1.0,0.1,0.0001,0.1,0.992199,0.998109,0.344133
1.0,1.0,0.1,0.0001,0.01,0.991492,0.998263,0.344314
1.0,1.0,0.1,0.0001,0.001,0.946447,0.99542,0.302075
1.0,1.0,0.1,0.0001,0.0001,0.991406,0.998062,0.335518
1.0,1.0,1.0,0.01,0.1,0.989037,0.998321,0.364843
1.0,1.0,1.0,0.01,0.01,0.991749,0.998237,0.354241
1.0,1.0,1.0,0.01,0.001,0.993715,0.997852,0.33008
1.0,1.0,1.0,0.01,0.0001,0.992822,0.99775,0.330641
1.0,1.0,1.0,0.001,0.1,0.991956,0.998254,0.338587
1.0,1.0,1.0,0.001,0.01,0.990443,0.9982,0.340693
