alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,1.0,0.1,1.0,0.01,0.606481,0.961816,0.394152
1.0,1.0,0.1,1.0,0.001,0.695317,0.97419,0.59432
1.0,1.0,0.1,0.1,0.01,0.639894,0.953804,0.338636
1.0,1.0,0.1,0.1,0.001,0.741866,0.968554,0.552736
1.0,1.0,0.1,0.01,0.01,0.668206,0.963646,0.463241
1.0,1.0,0.1,0.01,0.001,0.710021,0.973228,0.587216
1.0,1.0,0.001,1.0,0.01,0.681683,0.964247,0.284058
1.0,1.0,0.001,1.0,0.001,0.691394,0.964224,0.333974
1.0,1.0,0.001,0.1,0.01,0.678226,0.964543,0.323402
1.0,1.0,0.001,0.1,0.001,0.675628,0.962771,0.288491
1.0,1.0,0.001,0.01,0.01,0.676771,0.955836,0.265732
1.0,1.0,0.001,0.01,0.001,0.73723,0.972821,0.525268
1.0,1.0,0.5,1.0,0.01,0.688487,0.966873,0.471387
1.0,1.0,0.5,1.0,0.001,0.711164,0.97655,0.585
1.0,1.0,0.5,0.1,0.01,0.629663,0.955121,0.34087
1.0,1.0,0.5,0.1,0.001,0.694997,0.9753,0.570439
1.0,1.0,0.5,0.01,0.01,0.753399,0.979833,0.614249
1.0,1.0,0.5,0.01,0.001,0.718628,0.970212,0.471872
