alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.680633,0.964981,0.471162
1.0,0.0,0.1,0.01,0.01,0.683544,0.968094,0.534239
1.0,0.0,0.1,0.01,0.001,0.682673,0.975465,0.499155
1.0,0.0,0.1,0.01,0.0001,0.72797,0.96787,0.536406
1.0,0.0,0.1,0.001,0.1,0.742716,0.97529,0.591753
1.0,0.0,0.1,0.001,0.01,0.741309,0.971348,0.56019
1.0,0.0,0.1,0.001,0.001,0.727818,0.976653,0.594728
1.0,0.0,0.1,0.001,0.0001,0.700759,0.970239,0.537386
1.0,0.0,0.1,0.0001,0.1,0.691477,0.973106,0.578837
1.0,0.0,0.1,0.0001,0.01,0.72337,0.975265,0.538299
1.0,0.0,0.1,0.0001,0.001,0.572007,0.953911,0.347711
1.0,0.0,0.1,0.0001,0.0001,0.67828,0.966361,0.509333
1.0,0.0,1.0,0.01,0.1,0.728671,0.973701,0.526207
1.0,0.0,1.0,0.01,0.01,0.740956,0.974246,0.409186
1.0,0.0,1.0,0.01,0.001,0.674736,0.969504,0.49967
1.0,0.0,1.0,0.01,0.0001,0.703845,0.968081,0.490612
1.0,0.0,1.0,0.001,0.1,0.695974,0.97539,0.584843
1.0,0.0,1.0,0.001,0.01,0.701058,0.98005,0.584926
1.0,0.0,1.0,0.001,0.001,0.680512,0.960914,0.495049
1.0,0.0,1.0,0.001,0.0001,0.652735,0.96645,0.514017
1.0,0.0,1.0,0.0001,0.1,0.576901,0.950063,0.32284
1.0,0.0,1.0,0.0001,0.01,0.635221,0.961781,0.432983
1.0,0.0,1.0,0.0001,0.001,0.694449,0.96927,0.558103
1.0,0.0,1.0,0.0001,0.0001,0.649818,0.961384,0.410815
1.0,0.0,10.0,0.01,0.1,0.736161,0.976042,0.561185
1.0,0.0,10.0,0.01,0.01,0.654758,0.968896,0.483671
1.0,0.0,10.0,0.01,0.001,0.704089,0.971145,0.555794
1.0,0.0,10.0,0.01,0.0001,0.672604,0.971673,0.5414
1.0,0.0,10.0,0.001,0.1,0.71004,0.972893,0.548044
1.0,0.0,10.0,0.001,0.01,0.652558,0.958065,0.363252
1.0,0.0,10.0,0.001,0.001,0.664882,0.971084,0.546386
1.0,0.0,10.0,0.001,0.0001,0.69053,0.967728,0.429437
1.0,0.0,10.0,0.0001,0.1,0.709533,0.966685,0.469011
1.0,0.0,10.0,0.0001,0.01,0.655117,0.960714,0.447789
1.0,0.0,10.0,0.0001,0.001,0.689765,0.96722,0.455385
1.0,0.0,10.0,0.0001,0.0001,0.62899,0.961495,0.457028
