alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,1.0,0.0,0.01,0.1,0.506518,0.936129,0.303608
1.0,1.0,0.0,0.01,0.01,0.508446,0.927595,0.108479
1.0,1.0,0.0,0.01,0.001,0.495691,0.92437,0.061963
1.0,1.0,0.0,0.01,0.0001,0.479553,0.925857,0.082226
1.0,1.0,0.1,0.01,0.1,0.507458,0.934317,0.318665
1.0,1.0,0.1,0.01,0.01,0.494055,0.927534,0.119673
1.0,1.0,0.1,0.01,0.001,0.498921,0.925444,0.079548
1.0,1.0,0.1,0.01,0.0001,0.473806,0.925388,0.059051
1.0,1.0,0.2,0.01,0.1,0.533001,0.9357,0.271243
1.0,1.0,0.2,0.01,0.01,0.473477,0.927252,0.106632
1.0,1.0,0.2,0.01,0.001,0.506035,0.925205,0.065682
1.0,1.0,0.2,0.01,0.0001,0.512117,0.924711,0.054546
1.0,1.0,0.3,0.01,0.1,0.475428,0.932573,0.235857
1.0,1.0,0.3,0.01,0.01,0.510439,0.926388,0.090451
1.0,1.0,0.3,0.01,0.001,0.50339,0.925785,0.078842
1.0,1.0,0.3,0.01,0.0001,0.495131,0.925353,0.052727
1.0,1.0,0.4,0.01,0.1,0.507953,0.933642,0.220299
1.0,1.0,0.4,0.01,0.01,0.490266,0.927508,0.120065
1.0,1.0,0.4,0.01,0.001,0.480917,0.924529,0.052854
1.0,1.0,0.4,0.01,0.0001,0.496694,0.924738,0.062955
1.0,1.0,0.5,0.01,0.1,0.476231,0.93453,0.253804
1.0,1.0,0.5,0.01,0.01,0.504883,0.925338,0.07346
1.0,1.0,0.5,0.01,0.001,0.489551,0.926685,0.084345
1.0,1.0,0.5,0.01,0.0001,0.483102,0.926138,0.080862
1.0,1.0,0.6,0.01,0.1,0.522911,0.932994,0.226461
1.0,1.0,0.6,0.01,0.01,0.51998,0.929403,0.125773
1.0,1.0,0.6,0.01,0.001,0.500991,0.925852,0.073231
1.0,1.0,0.6,0.01,0.0001,0.490998,0.925075,0.069446
1.0,1.0,0.7,0.01,0.1,0.516772,0.931252,0.157904
