alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,1.0,0.0,0.1,0.1,0.517331,0.931401,0.184087
1.0,1.0,0.0,0.1,0.01,0.534684,0.933988,0.23999
1.0,1.0,0.0,0.1,0.001,0.499717,0.927447,0.113561
1.0,1.0,0.0,0.1,0.0001,0.506188,0.92593,0.083679
1.0,1.0,0.1,0.1,0.1,0.517853,0.930358,0.208577
1.0,1.0,0.1,0.1,0.01,0.495489,0.932783,0.233698
1.0,1.0,0.1,0.1,0.001,0.521362,0.92678,0.111083
1.0,1.0,0.1,0.1,0.0001,0.498937,0.928115,0.106059
1.0,1.0,0.2,0.1,0.1,0.509873,0.937322,0.332614
1.0,1.0,0.2,0.1,0.01,0.51391,0.93636,0.300085
1.0,1.0,0.2,0.1,0.001,0.532177,0.927625,0.126017
1.0,1.0,0.2,0.1,0.0001,0.51607,0.926637,0.108029
1.0,1.0,0.3,0.1,0.1,0.555327,0.937672,0.284114
1.0,1.0,0.3,0.1,0.01,0.507161,0.933869,0.259207
1.0,1.0,0.3,0.1,0.001,0.515288,0.926947,0.108885
1.0,1.0,0.3,0.1,0.0001,0.496282,0.925043,0.080199
1.0,1.0,0.4,0.1,0.1,0.507256,0.937745,0.309027
1.0,1.0,0.4,0.1,0.01,0.512267,0.933984,0.270367
1.0,1.0,0.4,0.1,0.001,0.506313,0.925769,0.137145
1.0,1.0,0.4,0.1,0.0001,0.499905,0.925362,0.096416
1.0,1.0,0.5,0.1,0.1,0.516134,0.936762,0.303779
1.0,1.0,0.5,0.1,0.01,0.548911,0.933935,0.24501
1.0,1.0,0.5,0.1,0.001,0.490449,0.925366,0.087367
1.0,1.0,0.5,0.1,0.0001,0.516158,0.925503,0.085699
1.0,1.0,0.6,0.1,0.1,0.51561,0.938411,0.302908
1.0,1.0,0.6,0.1,0.01,0.507866,0.934163,0.276388
1.0,1.0,0.6,0.1,0.001,0.512301,0.925681,0.103383
1.0,1.0,0.6,0.1,0.0001,0.511815,0.92597,0.079067
1.0,1.0,0.7,0.1,0.1,0.502126,0.934347,0.251062
1.0,1.0,0.7,0.1,0.01,0.508103,0.933719,0.254489
1.0,1.0,0.7,0.1,0.001,0.501055,0.92676,0.088818
1.0,1.0,0.7,0.1,0.0001,0.481388,0.925822,0.074935
1.0,1.0,0.8,0.1,0.1,0.509504,0.935606,0.283738
1.0,1.0,0.8,0.1,0.01,0.505394,0.932505,0.210945
1.0,1.0,0.8,0.1,0.001,0.483604,0.929383,0.171396
1.0,1.0,0.8,0.1,0.0001,0.50473,0.925847,0.099353
1.0,1.0,0.9,0.1,0.1,0.550145,0.935892,0.253808
1.0,1.0,0.9,0.1,0.01,0.524141,0.933893,0.220135
1.0,1.0,0.9,0.1,0.001,0.488444,0.928641,0.10511
1.0,1.0,0.9,0.1,0.0001,0.508116,0.929299,0.150583
1.0,1.0,1.0,0.1,0.1,0.526061,0.938839,0.341182
1.0,1.0,1.0,0.1,0.01,0.493183,0.930747,0.177094
1.0,1.0,1.0,0.1,0.001,0.492629,0.927189,0.105596
1.0,1.0,1.0,0.1,0.0001,0.518997,0.924876,0.070204
1.0,1.0,2.0,0.1,0.1,0.507636,0.933819,0.28501
1.0,1.0,2.0,0.1,0.01,0.548423,0.931659,0.171268
1.0,1.0,2.0,0.1,0.001,0.506652,0.925972,0.087868
1.0,1.0,2.0,0.1,0.0001,0.541809,0.924374,0.062119
1.0,1.0,3.0,0.1,0.1,0.496274,0.932817,0.256272
1.0,1.0,3.0,0.1,0.01,0.506324,0.931439,0.191865
1.0,1.0,3.0,0.1,0.001,0.499866,0.930937,0.14919
1.0,1.0,3.0,0.1,0.0001,0.488232,0.926428,0.112178
1.0,1.0,4.0,0.1,0.1,0.53803,0.931965,0.216111
1.0,1.0,4.0,0.1,0.01,0.521056,0.930815,0.204703
1.0,1.0,4.0,0.1,0.001,0.504842,0.926447,0.09899
1.0,1.0,4.0,0.1,0.0001,0.503723,0.925245,0.089774
1.0,1.0,5.0,0.1,0.1,0.510041,0.93475,0.245831
1.0,1.0,5.0,0.1,0.01,0.481587,0.927419,0.130268
1.0,1.0,5.0,0.1,0.001,0.479013,0.926104,0.090434
1.0,1.0,5.0,0.1,0.0001,0.532325,0.927382,0.088973
1.0,1.0,6.0,0.1,0.1,0.498125,0.934154,0.249139
1.0,1.0,6.0,0.1,0.01,0.506703,0.931063,0.179121
1.0,1.0,6.0,0.1,0.001,0.504879,0.927649,0.127707
1.0,1.0,6.0,0.1,0.0001,0.487846,0.925821,0.085746
1.0,1.0,7.0,0.1,0.1,0.523938,0.934959,0.250389
1.0,1.0,7.0,0.1,0.01,0.478478,0.925537,0.097489
1.0,1.0,7.0,0.1,0.001,0.494938,0.924758,0.069548
1.0,1.0,7.0,0.1,0.0001,0.508389,0.926655,0.108053
1.0,1.0,8.0,0.1,0.1,0.548226,0.935515,0.240662
1.0,1.0,8.0,0.1,0.01,0.489276,0.925938,0.097514
1.0,1.0,8.0,0.1,0.001,0.476924,0.926093,0.09022
1.0,1.0,8.0,0.1,0.0001,0.533939,0.925426,0.088659
1.0,1.0,9.0,0.1,0.1,0.523481,0.933848,0.284538
1.0,1.0,9.0,0.1,0.01,0.511203,0.927908,0.116634
1.0,1.0,9.0,0.1,0.001,0.481304,0.924872,0.083895
1.0,1.0,9.0,0.1,0.0001,0.501363,0.927699,0.142393
1.0,1.0,10.0,0.1,0.1,0.477668,0.93211,0.24307
1.0,1.0,10.0,0.1,0.01,0.485362,0.925739,0.091821
1.0,1.0,10.0,0.1,0.001,0.506485,0.926362,0.131757
1.0,1.0,10.0,0.1,0.0001,0.523949,0.924841,0.070332
